Date,SharePrice
1/2/14,77.44539475
1/3/14,77.04557544
1/6/14,74.89697204
1/7/14,75.856461
1/8/14,75.09194679
1/9/14,76.20263178
1/10/14,75.2301837
1/13/14,73.84891755
1/14/14,75.0113527
1/15/14,77.14481412
1/16/14,77.33058367
1/17/14,76.85652616
1/21/14,75.39394758
1/22/14,76.7763823
1/23/14,76.64038513
1/24/14,77.20512022
1/27/14,76.66007339
1/28/14,70.90497216
1/29/14,70.23598702
1/30/14,70.03463724
1/31/14,69.00470795
2/3/14,70.04050186
2/4/14,70.50025256
2/5/14,70.599595
2/6/14,71.50652865
2/7/14,73.09834283
2/10/14,72.71181988
2/11/14,74.38994589
2/12/14,75.2743945
2/13/14,74.9602296
2/14/14,76.05688873
2/18/14,76.55140204
2/19/14,76.37468597
2/20/14,74.7279776
2/21/14,74.69710728
2/24/14,73.34314093
2/25/14,74.21622457
2/26/14,73.40762211
2/27/14,72.50368071
2/28/14,74.17817422
3/3/14,73.38154805
3/4/14,74.44635193
3/5/14,74.43810354
3/6/14,74.69600358
3/7/14,74.46113283
3/10/14,74.07111203
3/11/14,75.07027178
3/12/14,74.93559065
3/13/14,75.35199472
3/14/14,74.13480798
3/17/14,73.98459392
3/18/14,73.7289236
3/19/14,74.62019501
3/20/14,74.28682958
3/21/14,74.57820913
3/24/14,75.48205234
3/25/14,75.92068662
3/26/14,76.62498351
3/27/14,75.70890299
3/28/14,75.47469806
3/31/14,75.5990936
4/1/14,75.39461719
4/2/14,76.03616773
4/3/14,75.90452792
4/4/14,75.68018051
4/7/14,74.02790571
4/8/14,73.62532898
4/9/14,73.27327651
4/10/14,74.39941392
4/11/14,72.7644772
4/14/14,73.1708442
4/15/14,72.94387096
4/16/14,72.62541762
4/17/14,72.897474
4/21/14,73.65263437
4/22/14,74.06474967
4/23/14,74.17426241
4/24/14,79.66168695
4/25/14,79.14119558
4/28/14,80.30519282
4/29/14,83.23767089
4/30/14,83.08750733
5/1/14,82.99289917
5/2/14,83.04635189
5/5/14,82.73311868
5/6/14,84.3659999
5/7/14,83.449361
5/8/14,82.92665266
5/9/14,82.40901903
5/12/14,82.82714134
5/13/14,83.46187012
5/14/14,83.516998
5/15/14,83.83894399
5/16/14,82.98805242
5/19/14,84.28974015
5/20/14,85.22180467
5/21/14,85.13035972
5/22/14,85.51554663
5/23/14,85.61005813
5/27/14,86.82546553
5/28/14,88.25336036
5/29/14,88.51837168
5/30/14,89.94207773
6/2/14,89.37862849
6/3/14,88.59990714
6/4/14,89.8695301
6/5/14,91.09787905
6/6/14,91.62042691
6/9/14,91.483127
6/10/14,93.48368488
6/11/14,92.89646175
6/12/14,92.80705602
6/13/14,90.98790535
6/16/14,90.30905531
6/17/14,91.09697763
6/18/14,91.05881862
6/19/14,91.07433595
6/20/14,90.64769552
6/23/14,90.12358031
6/24/14,89.55380483
6/25/14,89.02197543
6/26/14,89.18693839
6/27/14,89.62525984
6/30/14,90.89089637
7/1/14,92.29
7/2/14,92.63486842
7/3/14,92.43474742
7/7/14,92.90402626
7/8/14,95.00793917
7/9/14,94.1893448
7/10/14,92.52683502
7/11/14,94.10816215
7/14/14,94.59776879
7/15/14,95.53059169
7/16/14,95.69111732
7/17/14,93.78457514
7/18/14,92.39063645
7/21/14,93.74625186
7/22/14,93.44052365
7/23/14,94.16331104
7/24/14,95.75986808
7/25/14,95.58074639
7/28/14,96.53575439
7/29/14,98.0275432
7/30/14,97.14618849
7/31/14,95.87943933
8/1/14,93.65612192
8/4/14,95.09971859
8/5/14,94.10684609
8/6/14,93.50276432
8/7/14,94.14628493
8/8/14,93.48395187
8/11/14,94.48592562
8/12/14,95.24942378
8/13/14,95.3589675
8/14/14,96.53139487
8/15/14,97.09066136
8/18/14,97.67554054
8/19/14,98.58924699
8/20/14,99.61107288
8/21/14,99.74008252
8/22/14,99.46843762
8/25/14,100.9479319
8/26/14,100.5856398
8/27/14,100.1891295
8/28/14,100.755422
8/29/14,102.0170498
9/2/14,102.2119748
9/3/14,102.255943
9/4/14,98.03397371
9/5/14,97.99139133
9/8/14,98.48225905
9/9/14,98.2609899
9/10/14,97.20457129
9/11/14,99.58834664
9/12/14,100.3737183
9/15/14,101.960247
9/16/14,98.97872298
9/17/14,100.4325635
9/18/14,101.0888447
9/19/14,101.449066
9/22/14,100.9639224
9/23/14,99.77669525
9/24/14,101.3166152
9/25/14,99.67815061
9/26/14,97.71828883
9/29/14,97.84195885
9/30/14,99.97950571
10/1/14,99.75834241
10/2/14,98.45517117
10/3/14,98.62148163
10/6/14,99.12728368
10/7/14,98.61442228
10/8/14,97.94679762
10/9/14,100.7057276
10/10/14,99.86032959
10/13/14,100.4975123
10/14/14,99.56654785
10/15/14,97.16647324
10/16/14,94.76582693
10/17/14,96.70139244
10/20/14,97.51183641
10/21/14,102.1754914
10/22/14,101.991238
10/23/14,103.2261528
10/24/14,104.3103307
10/27/14,103.982152
10/28/14,104.5310474
10/29/14,105.7756568
10/30/14,106.0801645
10/31/14,107.1199176
11/3/14,107.3297075
11/4/14,108.4637716
